ㄱㅇㅇ,	‘귀여워’를 초성만으로 표현한 단어.
리셀,	희소한 제품을 구입해 웃돈을 얹어 되파는 행위. 한정판 스니커즈부터 구하기 힘든 굿즈까지 대상은 다양함.
리젠,	‘regeneration(부활)’의 줄임말로, 게임에서 몬스터가 죽고난 뒤 다시 나타나는 것을 뜻한다. 통상적으로는 ‘새로운 게시물이 업로드 되었다’라는 의미로 쓰임.
리퍼브,	반품됐거나, 외관상 약간의 흠집 또는 하자가 있어 정상가로 판매하지 못하는 제품.
린스타,	진짜 계정. ‘Real Instagram’의 줄임말.
릴스,	인스타그램에서 2021년 출시한 숏폼 서비스.
마상,	‘마음에 상처가 났다’는 뜻 .
마스킹테이프,	손으로 찢어 사용할 수 있는 종이 테이프. 다양한 디자인으로, 다이어리를 꾸미는 MZ세대에게 필수템으로 통함.
마음함,	트위터에서 하트 버튼을 누르면 ‘마음에 들어요’ 카테고리에 보관되는데, 이를 뜻하는 트위터 용어.
마크정식,	아이돌 그룹 갓세븐의 팬이 멤버인 ‘마크’를 대중들에게 알리기 위해 직접 편의점 레시피를 개발하고, 해당 레시피에 ‘마크’라는 이름을 붙여 유행시킨 것.
마테,	마스킹테이프의 준말. 주로 다이어리 등을 꾸밀 때 이용됨
많관부,	‘많은 관심 부탁드립니다’의 줄임말.
맘찍,	마음(=하트 버튼)을 찍어둔다는 뜻. 트위터에서 남의 게시물에 공감을 표하거나, 그 게시물을 보관하고 싶을 때 사용하는 기능.
맛잘알,	잘 안다', '잘 아는 사람'이라는 뜻의 신조어인 '잘알' 앞에 '맛'이 붙은 형태. 즉, 맛을 잘 아는 사람이라는 뜻
맛집,	‘이 집 잘한다’는 칭찬의 표현. ‘엔딩 맛집’, ‘케미(합) 맛집’ 등 다양한 단어 뒤에 붙임.
망붕,	‘망상 분자’를 ‘망상 붕자’로 발음을 뭉갠 것의 줄임말. 사실이 아니지만 믿고 싶어 하는 것을 의미함.
망상,	좋아하는 연예인을 가지고 특정 상황을 설정해 상상하며 노는 것.
맵부심,	‘맵(다)’+‘자부심’의 합성어. 매운 것을 잘 먹는 데 자부심이 있음을 뜻하는 말.
머글,	덕후가 아닌 일반인을 이르는 말. 영화 <해리 포터> 시리즈에서 마법사들이 일반인을 부르는 용어에서 비롯됨.
먹금,	‘먹이 금지’의 줄임말. 대꾸하지 않고 무시하는 것을 의미함.
먹시태그,	먹다 + 해시태그(#)의 합성어. 주로 아이돌 팬들이 자신이 좋아하는 가수에게 음식을 추천해주고 싶을 때 사용함. 아이돌마다 고유의 먹시태그가 있음.
멍,	불멍, 물멍, 숲멍 등 최근 MZ세대 사이에선 편안한 경관 앞에서 멍을 때리며 휴식을 취하는 것이 트렌드로 떠오름.
메타버스,	가상 세계와 현실 세계의 경계가 허물어진 3차원 가상 세계를 뜻함. 이용자는 아바타를 이용하여 메타버스 세계관 아래서 사회, 경제, 문화 활동을 함. 이를 활용한 대표적인 콘텐츠로는 게임 ‘로블록스’, ‘마인크래프트’, 증강현실 아바타 서비스 ‘제페토’등이 있다.
모바일 네이티브,	어릴 적부터 모바일 기기를 접하고 자유자재로 구사하는 세대. 1990년대 중반 이후 출생자.
무나,	무료 나눔의 준말
무물,	무엇이든 물어보세요'의 줄임말. 문답을 주고 받는, MZ세대가 SNS에서 즐기는 놀이.
무배,	무료배송의 줄임말.
미공포,	‘미공개 포토카드’의 줄임말. 앨범에 수록된 ‘공식 포토카드’를 제외한 포토카드를 일컬음. 보통 아이돌 팬들이 각종 이벤트에 참여해서 받게 되는 경우가 많음.
미라클모닝,	4시 30분, 6시 등 새벽에 일어나 하루를 시작하는 생활 방식. 미라클 모닝을 실천하는 유튜버들의 영향이 크며, Z세대의 갓생 트렌드와 연관이 깊음.
민경버스,	개그우먼 ‘김민경’과 ‘유니버스’의 합성어. ‘하하버스’의 뒤를 잇는 세계관으로 ‘그냥 하면 다 잘하는데, 정작 본인은 모르는 채로 살아온 세계관’을 뜻함.
민초단,	민트 초코를 좋아하는 이들을 부르는 말. 호불호가 갈리는 민트 초코 논쟁에서 ‘민초’ 편인 사람.
밀레니얼,	1981년~1996년에 출생한 세대를 가리키는 말. 대학내일20대연구소에선 심리적, 사회적 동질성을 고려해 1989년 이전 출생자는 전기 밀레니얼, 1989년 출생자부터는 후기 밀레니얼로 구분하고 있음.
밀키트,	레시피에 따라 미리 손질된 식재료가 팩에 들어있는 제품.
밀프렙,	식사(meal)와 준비(preparation)의 합성어. 최대 일주일치 식사를 미리 준비해뒀다가 식사 때마다 먹는 방법.
밖순이,	집순이의 반대말로, 밖에서 노는 걸 좋아하는 사람을 일컫는 말.
반모,	반말로 말하는 것. '반말 모드'의 줄임말.
반모방,	반말 모드 대화방의 줄임말. 말을 놓고 친해지는 채팅방으로, 주로 유튜브 댓글창에 열림.
밥약,	밥 약속의 줄임 말.
밸런스게임,	쉽게 고를 수 없는 두 가지 상황을 제시하고, 뭐가 더 나은지 선택하는 게임. 용례: 카레맛 똥 VS 똥맛 카레
밸붕,	밸런스 붕괴, 특정 아이템의 성능이 매우 출중하여 다른 아이템과 공정한 비교가 어려울 때 쓰는 말. 주로 게임 용어로 쓰였으나 요즘에는 다양한 분야에서 활용됨.
버블,	스타와 마치 1:1 메시지를 주고받는 것처럼 소통할 수 있게 만들어진 프라이빗 메시지 앱. 유료로 이용이 가능하며 아이돌 팬덤이 활발하게 이용하는 서비스로 유명함.
버실,	버전 실시간의 줄임말. 슬라임 영상에 상황극 음성이나 자막을 입힌 콘텐츠를 말함.
별다꾸,	다이어리부터 폴라로이드, 신발, 스마트폰 배경화면까지 별걸 다 꾸미는 MZ세대의 특징을 나타내는 말.
본캐,	‘본래의 캐릭터’의 줄임말.
부캐,	원래 캐릭터(‘본캐’)가 아닌 또 다른 캐릭터. 온라인 게임에서 유래한 말.
불판,	하나의 게시물 안에서 주제를 정해놓고 댓글로 의견을 주고받는 커뮤니티 문화.
불펌,	인터넷상에서, 불법으로 다른 사람의 게시물을 그대로 가져오거나 가져가는 일. ‘불법 퍼 옴’의 줄인 말이다.
브이라이브,	네이버의 실시간 방송 플랫폼. 스타와 팬과 소통하는 창구로 쓰임.
브이로그,	브이로그(v-log): 비디오(video)와 블로그(blog)의 합성어. 자신의 일상을 영상으로 촬영한 콘텐츠를 말함.
브이앱,	네이버가 제공하는 연예인 라이브 방송 서비스.
블친,	블로그 친구의 줄임말.
비건,	원래는 채식주의 중에서도 가장 엄격한 단계를 뜻하는 단어지만, 요즘은 철학적인 이유로 동물성 식품을 섭취하지 않는 사람들을 통칭해 ‘비건’이라고 부르는 경우가 많음.
비상이다,	MZ세대가 감동적인 상황에서 사용하는 유행어. 한 익명게시판의 썰에서 유래됨.
빌드업,	‘쌓아 올린다’는 뜻의 건축 용어 ‘빌드업(Build-up)’에서 유래한 표현. SNS에서는 ‘말하고자 하는 내용=결론을 강조하기 위해 앞단에 설명을 쌓는 것’이라는 뜻으로 쓰인다.
빛삭,	‘빛의 속도로 삭제한다’의 줄임말로 인터넷상에 올린 게시물을 매우 빠르게 지운다는 의미.
빠던,	배트 플립(bat flip)의 한국식 표기. 일명 ‘빠따 던지기’의 줄임말. 타자가 홈런이 짐작되는 타격을 한 뒤, 야구 방망이를 던지는 행위를 말함.
뽀시래기,	부스러기처럼 작고 귀엽다는 뜻의 MZ세대식 표현.
뽐뿌,	인터넷 유행어로 무언가를 구매하고 싶은 감정상태. 충동구매와 같은 의미.
사바사,	‘사람 by 사람’의 줄임말. 사람마다 다 다르다는 것을 의미함.
삼현슼엘,	국내 굴지의 대기업인 삼성, 현대, SK, LG를 통칭하는 말. MZ세대 취업 준비생들이 입사하고 싶어하는 꿈의 직장으로 꼽히는 기업들.
상플,	‘상상 플레이’의 줄임말. MZ세대가 썰을 풀고 노는 문화를 칭하는 말.
생정,	생활 정보의 줄임말.
생카,	생일 카페의 줄임말. 주로 아이돌의 생일을 기념하기 위해 열리며, 카페를 대관해 컵홀더 및 카페 내부를 아이돌 사진으로 꾸밈.
샤라웃,	‘Shout Out’의 한국식 발음. 주로 <쇼미더머니> 같은 힙합 경연 프로그램에서 존중의 의미를 담아 상대를 언급하는 행위를 말함. 요즘엔 ‘널리 알리다’라는 뜻으로도 사용됨.
서사,	어떤 인물에게 부여된 스토리.
세포마켓,	1인 미디어 시대에서 SNS를 통해 이뤄지는 1인 마켓. 기업 단위가 아닌 1인 사업자가 주를 이뤄 세포가 분열하는 것처럼 개인 단위로 발전하는 현상을 뜻함.
셧다운제,	청소년의 온라인 게임 중독을 막기 위한 심야 게임 규제로, 만 16세 미만 청소년은 밤 12시부터 다음 날 오전 6시까지 온라인 게임에 접속할 수 없도록 하는 내용의 규제.
소취,	소원 성취의 줄임말. ‘바라다’라는 뜻의 신조어.
손댄스,	노래에 맞춰 손 모양으로 안무하는 것을 말함. 주로 ‘틱톡’에서 유행하고 있음.
손민수,	웹툰 <치즈인더트랩>의 등장인물로 주인공 홍설을 몰래 따라하는 캐릭터. MZ세대 사이에서 ‘따라한다’ = ‘손민수 한다’로 통함.
솜뭉치,	MZ세대가 ‘인형’을 부르는 애칭.
쇼츠,	유튜브에서 2021년 베타 출시한 숏폼 서비스.
순삭,	‘순식간에 삭제되다’의 줄임말. ‘너무 재밌어서 시간 가는 줄 몰랐다’, ‘너무 맛있어서 순식간에 다 먹어 버렸다.’ 등의 맥락에서 사용됨.
슈스,	슈퍼스타의 줄임말.
스꾸,	스티커 꾸미기의 줄임말. 스티커로 무언가를 꾸미는 행위를 뜻함.
스낵커블,	‘쉽고 빠르게 소비할 수 있는’이란 뜻.
스밍,	스트리밍의 줄임말. 아이돌 팬들이 음원 사이트에서 응원하는 가수의 노래를 차트 1위로 만들어주기 위해 반복해서 듣는 것을 ‘스밍 돌린다’고 표현함.
스불재,	‘스스로 불러온 재앙에 짓눌려’의 준말. 노래 Lazenca, save us에서 탄생한 밈.
스카,	스터디 카페의 줄임말.
스킨스병,	영국 드라마 <스킨스>의 퇴폐적인 주인공을 따라하는 사람들을 일컫는 말. 2010년대에 창궐하다 사라졌음.
스트리머,	유튜브, 트위치, 아프리카 같은 플랫폼에서 실시간 인터넷 방송을 하는 사람.
시드머니,	초기 자본, 종잣돈을 의미하는 말.
시즈니,	SM엔터테인먼트 보이그룹 NCT의 팬 ncitizen의 애칭.
신박한,	‘새롭고 놀랍다’란 뜻으로 신기하면서도 참신한 경우에 사용되는 신조어.
실감세대,	실감나는 경험을 선호하고 소비함으로써, 내가 지금 이곳에 존재하고 있음을 실감하는 세대.
실사,	실세 사진의 줄임말
실친,	실제 친구의 줄임말. 온라인에서 사귄 친구가 아니라는 뜻.
실트,	트위터 ‘실시간 트렌드’라는 뜻. 현재 얘기가 많이 이루어지는 주제를 트위터 프로그램이 인지해 실시간 트렌드로 올리기 때문에 지금 무엇이 화제인지 알 수 있음.
실트총공,	원하는 메시지를 트위터 실시간 트렌드에 올리기 위해 해당 메시지가 포함된 트윗을 일제히 작성하는 것. 주로 아이돌 팬들이 최애의 생일을 축하할 때 벌임.
쓸디계,	3D 계정의 줄임말. 2D 애니메이션 캐릭터가 아닌, 실제 인물을 덕질하는 계정을 일컫는 말.
씽크빅,	학습지 이름 ‘씽크빅’에서 유래한 표현. 창의력이 뛰어난 대상을 칭찬할 때 쓰인다. “어릴 때 씽크빅 좀 했나 봐?”라는 문장에서 파생돼 “오, 씽크빅!”같은 감탄사로도 쓰임.
아이패드병,	아이패드가 갖고 싶어 생긴 병. 아이패드를 사야만 완치가 가능하다고 알려짐. (※ 진짜로 아픈 거 아님 주의)
안고독한채팅방,	대화가 없는 고독한 채팅방과 달리, 대화도 하며 특정 연예인의 짤(이미지)도 공유하는 카카오톡 오픈 채팅방.
안읽씹,	메시지를 읽지도 않고 답장도 하지 않는 경우를 일컫는 표현.
알계,	트위터 계정 최초 생성 시 기본 프로필 사진인 알 그림을 프로필 사진으로 하고 있는 계정. 주로 본계를 숨기고 새로 계정을 만들어, 익명 뒤에 숨고 싶은 사람들이 이용함.
알못,	어떤 분야에 대해 잘 알지 못하는 사람을 부르는 말↔잘알
알잘딱깔센,	알아서 잘 딱 깔끔하고 센스있게.
알티,	다른 트위터리안의 트윗을 리트윗하는 걸 말함(rt).
알티스타,	트윗의 리트윗(공유) 수가 1,000 단위를 넘어가며 화제가 되는 경우, 해당 트윗을 올린 트위터리안을 부르는 말.
알파세대,	2010년 이후 출생자, 즉 Z세대 이후 세대를 부르는 말.
액괴,	액체 괴물의 줄임말. 알파 세대에게 인기 있는 장난감인 ‘슬라임’을 지칭하는 용어이다.
액괴유튜버,	액괴란 액체괴물(슬라임)의 줄임말임. 액괴 유튜버란 ‘슬라임’을 만지고 노는 콘텐츠를 주로 업로드하는 유튜버를 뜻함.
앨범깡,	앨범 언박싱을 부르는 말. 주로 원하는 포토카드를 얻기 위해 연속해서 앨범을 열어보는 것을 말함.
앱테크,	앱+재테크의 합성어. 앱 안에서 특정 활동을 해 포인트를 쌓는 것
야민정음,	야구 갤러리+훈민정음의 합성어. 디시인사이드 야구 갤러리에서 만든 드립으로 원래 글자를 모양이 비슷한 다른 글자로 대체해 표기하는 방식. (ex. 멍멍이 → 댕댕이)
어그로,	상대의 관심을 끌거나 도발하기 위해 자극적인 행동을 하는 것을 뜻하는 인터넷 용어.
어사,	어색한 사이의 줄임말↔찐친
어쩔티비,	알파 세대 유행어. ‘어쩌라고, TV나 봐’라는 의미로 추정됨.
언박싱,	구매한 물건의 상자를 개봉하는 과정을 담은 유튜브 영상 포맷.
언택트,	접촉하다라는 뜻의 '콘택트(contact)'와 부정어 '언(un-)'을 합성한 말. 비대면 방식을 뜻함.
언팔,	‘언팔로우(Unfollow)’의 줄임말. 팔로우를 취소하여 더이상 게시물을 받아보지 않는다는 뜻.
얼빡,	얼굴이 한 프레임에 가득 찼다는 뜻. 이렇게 나온 사진을 ‘얼빡샷’이라고 부름.
엄빠,	엄마 아빠를 함께 일컫는 말.
에타,	학교 인증을 거친 재학생들만 이용할 수 있는 익명 커뮤니티 플랫폼 ‘에브리타임’의 줄임말. 과거 학교 커뮤니티와 비슷한 기능을 함.
여덕,	여자 덕후의 줄임말. 여덕 몰이 멤버 = 여성 팬이 많다는 뜻.
여름이었다,	트위터에서 시작된 유행어. 아무 말이나 해놓고, 뒤에 '여름이었다'라는 문구만 붙이면 감성적으로 보인다는 한 트윗에서 유래해 커뮤니티로 퍼짐.
연반인,	연예인과 일반인을 합친 신조어. 연예인은 아니지만 연예인 만큼의 화제성을 가진 인물을 뜻함. 대표적인 인물로는 SBS 소속 PD 재재가 있음.
영끌,	‘영혼까지 끌어모은다’의 줄임말. 있는 돈 없는 돈 다 끌어모을 때 비유적으로 사용하는 표현.
영통팬싸,	영상 통화로 하는 팬 사인회의 줄임말. 코로나 사태 이후 활성화 된 비대면 팬 이벤트 종류의 하나.
예쁜쓰레기,	실용성은 없을지라도 감성을 충족시켜주는 물건들을 일컫는 말.
오늘의집,	MZ세대가 푹 빠져 있는 인테리어 플랫폼. ‘오늘의집’에서 자주 보이는 스타일로 꾸민 것을 ‘오늘의집st’라고 부름.
오픈런,	특정 상품을 구하기 위해 매장 오픈 시간 전에 줄을 서서 대기하는 행위. 공연계에서 쓰는 ‘오픈런’과는 다른 뜻.
온콘,	온라인 콘서트의 줄임말.
온클,	‘온라인 클래스’의 줄임말.
옾챗,	오픈채팅방의 Z세대식 줄임말. Z세대는 오픈채팅방을 커뮤니티처럼 이용함.
와드,	관심 있는 정보의 업데이트 내용을 실시간으로 확인하기 위해서 댓글을 남겨두는 행위.
움짤,	움직이는 짤방의 준말. gif 파일로 제작된 이미지를 뜻함.
웃수저,	‘금수저’를 응용한 신조어로, 딱히 노력하지 않아도 주변 사람들에게 웃음을 주는 재능을 가진 사람을 뜻하는 말.
웃음벨,	벨을 누르면 종소리가 나는 것처럼, 보기만 하면 웃음이 터지는 밈이나 짤을 일컫는 말.
웃참,	‘웃음 참기’의 줄임말. 웃기지만 웃어서 안되는 일이 있을 때 ‘웃음 참기 챌린지’를 한다고 표현하기도 함.
원툴,	(one tool) 한 가지만 잘 한다는 말.
위꾸,	위장 꾸미기. 맛있는 식사를 하는 것을 꾸미기에 빗대어 부르는 말.
위버스,	좋아하는 아티스트에게 글을 쓰고 사진을 남길 수 있는 소셜 네트워킹 앱.
유교걸,	‘유교’와 ‘girl’의 합성어로, 보수적인 사람을 일컫는 말.
유튜브프리미엄,	유튜브 유료 요금제. 광고 제거, 동영상 다운로드 등의 서비스를 제공함.
이때싶,	이때다 싶어'의 줄임말. 물 들어올 때 노 젓는다는 뜻.
이모지,	스마트폰에서 사용하는 그림 형태의 문자.
인급동,	‘인기 급상승 동영상’의 줄임말. 유튜브에서 단시간에 높은 조회 수를 기록하고, 화제가 된 영상을 일컬음.
인소,	인터넷 소설의 줄임말.
인쇼,	‘인터넷 쇼핑’의 줄임말.
인스,	인쇄 스티커의 줄임말. 인쇄소에 원하는 도안을 보내면 스티커를 소량으로 제작할 수 있음.
인스스,	‘인스타그램 스토리’를 줄여 부르는 말.
인스타돋보기,	인스타그램 검색 탭을 일컫는 말. 인스타그램 알고리즘을 이용해 검색바 하단에 추천 콘텐츠를 보여줌. MZ세대가 시간 때울 때 주로 이용하는 기능.
인스타스토리,	인스타그램에서 24시간 동안만 공개되는 게시물. 개인의 피드에도 게시되지 않는 것이 특징.
인스타그래머,	인스타그램을 하는 사람을 일컫는 말. 주로 인스타그램에 트렌디한 게시물을 자주 올리는 사람이라는 의미로 쓰임.
인스타그래머블,	인스타그램(Instagram)에 올릴만 하다(able)는 의미.
인싸,	‘인사이더(insider)’를 줄인 한국식 영어 표현. 사람들과 잘 어울리며 발이 넓은 사람을 뜻함.
인용알티,	트위터에서 다른 사람의 트윗 위에 자신의 의견을 덧붙여서 공유하는 기능.
인장,	트위터에서 ‘프로필 사진’을 일컫는 말. 프로필 사진이 올라가는 템플릿이 도장처럼 동그란 데서 유래한 별칭.
인친,	인스타그램 친구의 줄임말.
